film,Genre,Subgenre
A Bug's Life,Adventure,Animal Adventure
A Bug's Life,Adventure,Computer Animation
A Bug's Life,Adventure,Quest
A Bug's Life,Animation,Animal Adventure
A Bug's Life,Animation,Computer Animation
A Bug's Life,Animation,Quest
A Bug's Life,Comedy,Animal Adventure
A Bug's Life,Comedy,Computer Animation
A Bug's Life,Comedy,Quest
Brave,Action,Coming-of-Age
Brave,Action,Computer Animation
Brave,Action,Fairy Tale
Brave,Action,Quest
Brave,Action,Sword & Sorcery
Brave,Action,Teen Adventure
Brave,Adventure,Coming-of-Age
Brave,Adventure,Computer Animation
Brave,Adventure,Fairy Tale
Brave,Adventure,Quest
Brave,Adventure,Sword & Sorcery
Brave,Adventure,Teen Adventure
Brave,Animation,Coming-of-Age
Brave,Animation,Computer Animation
Brave,Animation,Fairy Tale
Brave,Animation,Quest
Brave,Animation,Sword & Sorcery
Brave,Animation,Teen Adventure
Cars,Adventure,Computer Animation
Cars,Adventure,Motorsport
Cars,Adventure,Sport
Cars,Animation,Computer Animation
Cars,Animation,Motorsport
Cars,Animation,Sport
Cars,Comedy,Computer Animation
Cars,Comedy,Motorsport
Cars,Comedy,Sport
Cars 2,Adventure,Car Action
Cars 2,Adventure,Computer Animation
Cars 2,Adventure,Crime
Cars 2,Adventure,Motorsport
Cars 2,Adventure,Sport
Cars 2,Adventure,Spy
Cars 2,Animation,Car Action
Cars 2,Animation,Computer Animation
Cars 2,Animation,Crime
Cars 2,Animation,Motorsport
Cars 2,Animation,Sport
Cars 2,Animation,Spy
Cars 2,Comedy,Car Action
Cars 2,Comedy,Computer Animation
Cars 2,Comedy,Crime
Cars 2,Comedy,Motorsport
Cars 2,Comedy,Sport
Cars 2,Comedy,Spy
Cars 3,Adventure,Car Action
Cars 3,Adventure,Computer Animation
Cars 3,Adventure,Motorsport
Cars 3,Adventure,Sport
Cars 3,Animation,Car Action
Cars 3,Animation,Computer Animation
Cars 3,Animation,Motorsport
Cars 3,Animation,Sport
Cars 3,Comedy,Car Action
Cars 3,Comedy,Computer Animation
Cars 3,Comedy,Motorsport
Cars 3,Comedy,Sport
Coco,Adventure,Computer Animation
Coco,Adventure,Fantasy
Coco,Adventure,Music
Coco,Adventure,Mystery
Coco,Adventure,Supernatural Fantasy
Coco,Animation,Computer Animation
Coco,Animation,Fantasy
Coco,Animation,Music
Coco,Animation,Mystery
Coco,Animation,Supernatural Fantasy
Coco,Drama,Computer Animation
Coco,Drama,Fantasy
Coco,Drama,Music
Coco,Drama,Mystery
Coco,Drama,Supernatural Fantasy
Elemental,Adventure,Computer Animation
Elemental,Adventure,Fantasy
Elemental,Adventure,Romance
Elemental,Adventure,Urban Adventure
Elemental,Animation,Computer Animation
Elemental,Animation,Fantasy
Elemental,Animation,Romance
Elemental,Animation,Urban Adventure
Elemental,Comedy,Computer Animation
Elemental,Comedy,Fantasy
Elemental,Comedy,Romance
Elemental,Comedy,Urban Adventure
Finding Dory,Adventure,Animal Adventure
Finding Dory,Adventure,Computer Animation
Finding Dory,Adventure,Fantasy
Finding Dory,Adventure,Sea Adventure
Finding Dory,Animation,Animal Adventure
Finding Dory,Animation,Computer Animation
Finding Dory,Animation,Fantasy
Finding Dory,Animation,Sea Adventure
Finding Dory,Comedy,Animal Adventure
Finding Dory,Comedy,Computer Animation
Finding Dory,Comedy,Fantasy
Finding Dory,Comedy,Sea Adventure
Finding Nemo,Adventure,Animal Adventure
Finding Nemo,Adventure,Buddy Comedy
Finding Nemo,Adventure,Computer Animation
Finding Nemo,Adventure,Quest
Finding Nemo,Adventure,Sea Adventure
Finding Nemo,Animation,Animal Adventure
Finding Nemo,Animation,Buddy Comedy
Finding Nemo,Animation,Computer Animation
Finding Nemo,Animation,Quest
Finding Nemo,Animation,Sea Adventure
Finding Nemo,Comedy,Animal Adventure
Finding Nemo,Comedy,Buddy Comedy
Finding Nemo,Comedy,Computer Animation
Finding Nemo,Comedy,Quest
Finding Nemo,Comedy,Sea Adventure
Incredibles 2,Action,Computer Animation
Incredibles 2,Action,Sci-Fi
Incredibles 2,Action,Superhero
Incredibles 2,Action,Urban Adventure
Incredibles 2,Adventure,Computer Animation
Incredibles 2,Adventure,Sci-Fi
Incredibles 2,Adventure,Superhero
Incredibles 2,Adventure,Urban Adventure
Incredibles 2,Animation,Computer Animation
Incredibles 2,Animation,Sci-Fi
Incredibles 2,Animation,Superhero
Incredibles 2,Animation,Urban Adventure
Inside Out,Adventure,Coming-of-Age
Inside Out,Adventure,Computer Animation
Inside Out,Adventure,Fantasy
Inside Out,Animation,Coming-of-Age
Inside Out,Animation,Computer Animation
Inside Out,Animation,Fantasy
Inside Out,Comedy,Coming-of-Age
Inside Out,Comedy,Computer Animation
Inside Out,Comedy,Fantasy
Inside Out 2,Adventure,Coming-of-Age
Inside Out 2,Adventure,Computer Animation
Inside Out 2,Adventure,Quest
Inside Out 2,Adventure,Teen Comedy
Inside Out 2,Adventure,Teen Drama
Inside Out 2,Animation,Coming-of-Age
Inside Out 2,Animation,Computer Animation
Inside Out 2,Animation,Quest
Inside Out 2,Animation,Teen Comedy
Inside Out 2,Animation,Teen Drama
Inside Out 2,Comedy,Coming-of-Age
Inside Out 2,Comedy,Computer Animation
Inside Out 2,Comedy,Quest
Inside Out 2,Comedy,Teen Comedy
Inside Out 2,Comedy,Teen Drama
Lightyear,Action,Computer Animation
Lightyear,Action,Sci-Fi
Lightyear,Action,Space Sci-Fi
Lightyear,Action,Superhero
Lightyear,Action,Time Travel
Lightyear,Adventure,Computer Animation
Lightyear,Adventure,Sci-Fi
Lightyear,Adventure,Space Sci-Fi
